Sugardaddy’s Gentlemen’s Club,Adult Entertainment,,"93 BoweryNew York, NY 10002",NY,2
Rooftop 93,Lounges,"Chinatown, Lower East Side","130 W 3rd StNew York, NY 10012",NY,2
The Village Underground,Dance Clubs,Greenwich Village,"3916 College Point Blvd, R LevelFlushing, NY 11354",NY,2
A+ Roof Bar,Lounges,"Downtown Flushing, Flushing","432 E 13th StNew York, NY 10009",NY,2
Keybar,Lounges,"East Village, Alphabet City","431 7th AveNew York, NY 10001",NY,1
On Now Lounge,Lounges,Midtown West,"10 Columbus CirNew York, NY 10019",NY,2
Ascent Lounge,Cocktail Bars,"Hell's Kitchen, Midtown West","191 Chrystie StNew York, NY 10002",NY,3
et al.,Lounges,Lower East Side,"505 E 6th StNew York, NY 10009",NY,4
Club Cumming,Dance Clubs,"East Village, Alphabet City","81 S 6th StBrooklyn, NY 11249",NY,2
Bembe,Dance Clubs,"Williamsburg - South Side, South Williamsburg","23 W 32nd StNew York, NY 10001",NY,2
Queen’s Cabinet Bar & Lounge,Karaoke,"Koreatown, Midtown West","153 West 57th StNew York, NY 10019",NY,2
Sugardaddy’s Gentlemen’s Club,Adult Entertainment,,"153 Morgan AveBrooklyn, NY 11237",NY,2
The Living Room,Lounges,Midtown West,"87-22 Lefferts BlvdJamaica, NY 11418",NY,3
Our Wicked Lady,Bars,East Williamsburg,"32 Cliff StNew York, NY 10038",NY,2
CBar & Lounge,Lounges,Richmond Hill,"894 Wyckoff AveBrooklyn, NY 11237",NY,2
Iron Horse NYC,Dive Bars,Financial District,"249 Eldridge StNew York, NY 10002",NY,1
Luv Story Bar,Dive Bars,Bushwick,"45 E 45th StNew York, NY 10017",NY,1
Rumpus Room,Dance Clubs,Lower East Side,"75 Styvesant PlStaten Island, NY 10301",NY,2
Mad 64 Rooftop Lounge,Lounges,Midtown East,"New York, NY 10063",NY,2
Kiss Me Downtown - A Night In Downtown SI,Music Venues,St. George,"1119 Flatbush AveBrooklyn, NY 11226",NY,2
Bare Naked Bake Sale,Social Clubs,Flatbush,"75 Murray StNew York, NY 10007",NY,1
Brooklyn Vibes Bar & Lounge,Lounges,"Flatbush, Ditmas Park",Unknown,NY,2
Sugardaddy’s Gentlemen’s Club,Adult Entertainment,,"1208 Surf AveNew York, NY 11224",NY,2
The 75 Club,Cocktail Bars,TriBeCa,"43-34 32nd PlLong Island City, NY 11101",NY,4
