Luna Deli,Delis,,"22 W 8th StNew York, NY 10011",NY,2,11:30 am - 1:30 am
Amélie,French,Greenwich Village,"293 Van Brunt StBrooklyn, NY 11231",NY,2,Unknown
Rita,Breakfast & Brunch,Red Hook,"225 Park Ave SNew York, NY 10003",NY,2,8:00 am - 4:00 pm
Boucherie - Park,Steakhouses,"Gramercy, Flatiron","5 E 19th StNew York, NY 10003",NY,2,11:00 am - 12:00 am
Thai Villa,Thai,Flatiron,"95 1st AveNew York, NY 10003",NY,2,Unknown
Upstate,Seafood,East Village,"307 W 47th StNew York, NY 10036",NY,2,11:30 am - 11:00 pm
Dutch Freds,American (Traditional),"Theater District, Midtown West, Hell's Kitchen","224 Lafayette StNew York, NY 10012",NY,2,Unknown
Jack’s Wife Freda,Breakfast & Brunch,SoHo,"39 W 19th StNew York, NY 10011",NY,2,5:00 pm - 11:00 pm
Burger & Lobster,Seafood,Flatiron,"9 Pell StNew York, NY 10013",NY,2,Unknown
Joe’s Shanghai,Shanghainese,"Chinatown, Civic Center","760 Dean StBrooklyn, NY 11238",NY,2,11:00 am - 4:00 am
Underhill Cafe and Grill,Greek,Prospect Heights,403 W 43rd St,NY,2,Unknown
Luna Deli,Delis,Harlem,100 W Houston St,NY,2,8:30 am - 12:00 am
Bea,American (New),Midtown West,200 E 3rd St,NY,2,Unknown
Jane,Breakfast & Brunch,Greenwich Village,204 W 55th St,NY,2,11:30 am - 11:00 pm
Root & Bone,Southern,Alphabet City,956 2nd Ave,NY,2,Unknown
Tanner Smiths,Cocktail Bars,Midtown West,509 Myrtle Ave,NY,2,11:00 am - 11:00 pm
The Smith,American (Traditional),Midtown East,139 Chrystie St,NY,2,Unknown
Soco,Cajun/Creole,Clinton Hill,15 Cliff St,NY,1,4:00 pm - 11:00 pm
The Boil,Cajun/Creole,Lower East Side,15 Main St,NY,2,5:00 pm - 2:00 am
Sugar Momma,American (New),Financial District,1 Doyers St,NY,2,Unknown
Atrium Dumbo,American (Traditional),DUMBO,90 Washington St,NY,2,11:30 am - 11:00 pm
Tasty Hand-Pulled Noodles,Chinese,Chinatown,166 Smith St,NY,2,Unknown
Luna Deli,Delis,Harlem,461 W 23rd St,NY,2,11:30 am - 11:00 pm
Clinton Hall,American (New),Financial District,41-11 49th St,NY,1,Unknown
Uglyduckling,American (Traditional),Cobble Hill,524 Court St,NY,2,8:00 am - 4:00 am
Calle Dao - Chelsea,Cuban,Chelsea,106 Greenwich St,NY,2,Unknown
The Alcove,Gastropubs,Woodside,327 2nd Ave,NY,2,7:30 am - 1:00 am
Buttermilk Channel,American (New),Carroll Gardens,12-21 Astoria Blvd,NY,2,Unknown
Bao Bao Cafe,Noodles,Financial District,26 S William St,NY,2,12:00 pm - 3:30 pm5:00 pm - 11:30 pm
Midwinter Kitchen,American (New),Gramercy,108 Greenwich St,NY,2,Unknown
Arcadia Bar & Kitchen,Gastropubs,Astoria,"8140 BroadwayQueens, NY 11373",NY,2,5:00 pm - 12:00 am
Luke’s Lobster FiDi,Seafood,Financial District,"509 Amsterdam AveNew York, NY 10024",NY,2,Unknown
Suspenders,Gastropubs,Financial District,"200 W 44th StNew York, NY 10036",NY,2,6:00 pm - 11:30 pm
Luna Deli,Delis,,"9 Maiden LnNew York, NY 10038",NY,2,Unknown
Lamoon,Thai,Elmhurst,"424 E 9th StNew York, NY 10009",NY,2,11:30 am - 2:30 pm5:30 pm - 11:00 pm
Jacob’s Pickles,Comfort Food,Upper West Side,"65 Kent AveBrooklyn, NY 11249",NY,2,Unknown
Carmine’s Italian Restaurant - Times Square,Italian,"Theater District, Midtown West","68 Clinton StNew York, NY 10002",NY,2,10:30 am - 10:30 pm
The Malt House,Gastropubs,Financial District,"1075 Bergen StBrooklyn, NY 11216",NY,3,Unknown
Thursday Kitchen,Korean,"East Village, Alphabet City","156 10th AveNew York, NY 10011",NY,2,11:30 am - 2:00 am
Scriptum Brooklyn,Italian,Williamsburg - North Side,"137 Rivington StNew York, NY 10002",NY,2,Unknown
Pig and Khao,Filipino,Lower East Side,"148 Lawrence StBrooklyn, NY 11201",NY,4,11:30 am - 2:00 am
Uotora,Japanese,Crown Heights,"99 7th Ave SNew York, NY 10014",NY,4,Unknown
Cookshop,American (New),Chelsea,"178 Ludlow StNew York, NY 10002",NY,2,11:30 am - 11:00 pm
TongKatsu,Japanese,Lower East Side,"60 Furman StBrooklyn, NY 11201",NY,3,Unknown
Luna Deli,Delis,,"1 Water StBrooklyn, NY 11201",NY,3,12:00 pm - 2:00 am
Yaso Tangbao,Shanghainese,Downtown Brooklyn,"42 E 20th StNew York, NY 10003",NY,2,Unknown
Boucherie - West Village,French,West Village,"647 9th AveNew York, NY 10036",NY,2,11:30 am - 3:00 pm5:00 pm - 11:30 pm
Sweet Chick,Southern,Lower East Side,"207 2nd AveNew York, NY 10003",NY,3,Unknown
The Osprey,American (New),DUMBO,"75 9th AveNew York, NY 10011",NY,2,11:00 am - 9:00 pm
The River Café,American (New),Flatiron,"252 W 37th StNew York, NY 10018",NY,2,Unknown
Gramercy Tavern,American (New),"Midtown West, Hell's Kitchen, Theater District","114 Greenpoint AveBrooklyn, NY 11222",NY,2,11:30 am - 3:30 pm5:00 pm - 10:00 pm
OBAO,Vietnamese,East Village,"211 W BroadwayNew York, NY 10013",NY,2,Unknown
Momofuku Ssam Bar,American (New),"Meatpacking District, Chelsea","558 Broome StNew York, NY 10013",NY,2,5:00 pm - 12:00 am
Buddakan,Chinese,Midtown West,"306 Gold StBrooklyn, NY 11201",NY,3,11:00 am - 9:00 pm
District Social,Bars,,"111 South StNew York, NY 10038",NY,2,Unknown
Luna Deli,Delis,Greenpoint,"66 Water StBrooklyn, NY 11201",NY,3,11:00 am - 2:00 am
Ramen Railroad,Ramen,TriBeCa,"76 Forsyth StNew York, NY 10002",NY,2,Unknown
Distilled,American (New),South Village,"151 Mulberry StNew York, NY 10013",NY,2,11:30 am - 4:00 pm5:00 pm - 10:00 pm
La Sirene,French,Downtown Brooklyn,"35 E 18th StNew York, NY 10003",NY,2,Unknown
Menya Jiro- Brooklyn,Ramen,South Street Seaport,"174 2nd AveNew York, NY 10003",NY,2,10:00 am - 4:00 am
Fishmarket Restaurant,Seafood,DUMBO,"705 59th St, Unit A",NY,2,Unknown
Seamore’s,Seafood,Lower East Side,215 E 4th St,NY,3,11:30 am - 12:00 am
Rabbit House,Tapas Bars,Little Italy,1378 3rd Ave,NY,2,Unknown
Aunt Jake’s,Italian,Flatiron,47-46 11th St,NY,3,11:00 am - 2:00 am
ABC Kitchen,American (New),East Village,564 Dekalb Ave,NY,2,Unknown
LoveMama,Thai,Harlem,21 Ann St,NY,2,6:00 pm - 12:00 am
Luna Deli,Delis,Sunset Park,99 Park Ave,NY,2,Unknown
